CMDLINE python aliengo_stepping_stones.py
MEM 1.476562 1608251717.2972
MEM 82.121094 1608251717.4066
MEM 153.285156 1608251717.5159
MEM 153.285156 1608251717.6250
MEM 153.285156 1608251717.7340
MEM 153.285156 1608251717.8447
MEM 153.285156 1608251717.9540
MEM 153.285156 1608251718.0631
MEM 153.285156 1608251718.1724
MEM 153.285156 1608251718.2825
MEM 153.285156 1608251718.3921
MEM 153.285156 1608251718.5018
MEM 153.285156 1608251718.6108
MEM 153.285156 1608251718.7202
MEM 153.285156 1608251718.8292
MEM 153.285156 1608251718.9385
MEM 153.285156 1608251719.0489
MEM 153.285156 1608251719.1582
MEM 153.285156 1608251719.2673
MEM 153.285156 1608251719.3769
MEM 153.710938 1608251719.4866
MEM 153.710938 1608251719.5947
MEM 153.710938 1608251719.7032
MEM 153.968750 1608251719.8128
MEM 153.968750 1608251719.9227
MEM 153.968750 1608251720.0332
MEM 154.484375 1608251720.1427
MEM 154.484375 1608251720.2532
MEM 154.484375 1608251720.3626
MEM 154.484375 1608251720.4716
MEM 154.484375 1608251720.5810
MEM 154.742188 1608251720.6905
MEM 154.742188 1608251720.8001
MEM 154.742188 1608251720.9098
MEM 154.742188 1608251721.0198
MEM 155.000000 1608251721.1290
MEM 155.000000 1608251721.2384
MEM 155.000000 1608251721.3476
MEM 155.257812 1608251721.4570
MEM 155.257812 1608251721.5667
MEM 155.257812 1608251721.6760
MEM 155.515625 1608251721.7838
MEM 155.515625 1608251721.8939
MEM 155.515625 1608251722.0032
MEM 155.773438 1608251722.1127
MEM 155.773438 1608251722.2227
MEM 155.773438 1608251722.3328
MEM 156.031250 1608251722.4415
MEM 156.031250 1608251722.5520
MEM 156.031250 1608251722.6622
MEM 156.804688 1608251722.7733
MEM 156.804688 1608251722.8827
MEM 156.804688 1608251722.9912
MEM 156.804688 1608251723.1021
MEM 156.804688 1608251723.2108
MEM 156.804688 1608251723.3212
MEM 156.804688 1608251723.4306
MEM 157.062500 1608251723.5400
MEM 157.062500 1608251723.6490
MEM 157.062500 1608251723.7587
MEM 157.320312 1608251723.8687
MEM 157.320312 1608251723.9778
MEM 157.320312 1608251724.0873
MEM 157.320312 1608251724.1966
MEM 157.578125 1608251724.3056
MEM 157.578125 1608251724.4148
MEM 157.578125 1608251724.5254
MEM 157.835938 1608251724.6353
MEM 157.835938 1608251724.7453
MEM 157.835938 1608251724.8543
MEM 158.093750 1608251724.9638
MEM 158.093750 1608251725.0734
MEM 158.093750 1608251725.1828
MEM 158.351562 1608251725.2925
MEM 158.351562 1608251725.4023
MEM 158.351562 1608251725.5115
MEM 158.609375 1608251725.6200
MEM 158.609375 1608251725.7309
MEM 158.609375 1608251725.8403
MEM 158.609375 1608251725.9499
MEM 158.867188 1608251726.0595
MEM 158.867188 1608251726.1685
MEM 158.867188 1608251726.2788
MEM 159.125000 1608251726.3878
MEM 159.125000 1608251726.4966
MEM 159.125000 1608251726.6061
MEM 159.382812 1608251726.7151
MEM 159.382812 1608251726.8258
MEM 159.382812 1608251726.9354
MEM 159.640625 1608251727.0448
MEM 159.640625 1608251727.1538
MEM 159.640625 1608251727.2629
MEM 159.898438 1608251727.3731
MEM 159.898438 1608251727.4827
MEM 159.898438 1608251727.5922
MEM 160.156250 1608251727.7015
MEM 160.156250 1608251727.8103
MEM 160.156250 1608251727.9205
MEM 161.960938 1608251728.0303
MEM 161.960938 1608251728.1402
MEM 161.960938 1608251728.2500
MEM 161.960938 1608251728.3597
MEM 161.960938 1608251728.4693
MEM 161.960938 1608251728.5772
MEM 161.960938 1608251728.6861
MEM 161.960938 1608251728.7974
MEM 161.960938 1608251728.9067
MEM 161.960938 1608251729.0164
MEM 161.960938 1608251729.1262
MEM 161.960938 1608251729.2352
MEM 161.960938 1608251729.3444
MEM 161.960938 1608251729.4540
MEM 161.960938 1608251729.5639
MEM 161.960938 1608251729.6732
MEM 161.960938 1608251729.7814
MEM 162.218750 1608251729.8907
MEM 162.218750 1608251730.0001
MEM 162.218750 1608251730.1096
MEM 162.476562 1608251730.2185
MEM 162.476562 1608251730.3283
MEM 162.476562 1608251730.4373
MEM 162.476562 1608251730.5464
MEM 162.734375 1608251730.6561
MEM 162.734375 1608251730.7661
MEM 162.734375 1608251730.8758
MEM 162.992188 1608251730.9852
MEM 162.992188 1608251731.0942
MEM 162.992188 1608251731.2024
